kInitial kTurnos NumAgR Davg Dstd TimeAvg TimeStd
0 1 0 1.0 0.0 0.00045 0.00022
0 1 1 0.32 0.733 0.02152 0.00945
0 1 2 1.0 1.0 0.05746 0.01899
0 1 3 1.54 0.842 0.13144 0.03298
0 1 4 1.7 0.714 0.23703 0.05398
4 1 0 1.9 0.436 0.35633 0.08059
4 1 1 2.0 0.0 0.5078 0.09568
4 1 2 2.0 0.0 0.77645 0.1515
4 1 3 2.0 0.0 1.02915 0.15367
4 1 4 2.0 0.0 1.4029 0.25217
8 1 0 2.0 0.0 1.81513 0.31906
8 1 1 2.0 0.0 2.21072 0.37219
8 1 2 2.0 0.0 2.62785 0.39043
8 1 3 2.0 0.0 3.2058 0.48658
8 1 4 2.0 0.0 3.89978 0.65998
