kInit kTurn NumAgR Davg Dstd TimeAvg TimeStd
0 0 0 0.0 0.0 0.00049 0.00021
0 0 1 1.16 0.987 0.02531 0.01349
0 0 2 1.68 0.733 0.10287 0.02666
0 0 3 1.78 0.626 0.20013 0.05394
0 0 4 1.94 0.341 0.37887 0.07461
4 0 0 1.94 0.341 0.51265 0.11024
4 0 1 1.92 0.392 0.71086 0.15157
4 0 2 2.0 0.0 0.93437 0.14739
4 0 3 2.0 0.0 1.22692 0.20042
4 0 4 2.0 0.0 1.64284 0.29303
8 0 0 2.0 0.0 2.06034 0.30933
8 0 1 2.0 0.0 2.54511 0.38631
8 0 2 2.0 0.0 3.03306 0.48473
8 0 3 2.0 0.0 3.67484 0.55349
8 0 4 2.0 0.0 4.49381 0.82478
0 1 0 2.0 0.0 4.69126 0.74861
0 1 1 2.0 0.0 4.84656 0.77026
0 1 2 2.0 0.0 5.59242 0.84853
0 1 3 2.0 0.0 5.9985 0.95711
0 1 4 2.0 0.0 7.02073 1.12239
4 1 0 2.0 0.0 7.48888 1.12582
4 1 1 2.0 0.0 8.40586 1.20232
4 1 2 2.0 0.0 9.00347 1.27907
4 1 3 2.0 0.0 10.05476 1.46422
4 1 4 2.0 0.0 11.44703 1.60968
8 1 0 2.0 0.0 12.59897 1.75585
8 1 1 2.0 0.0 13.65231 1.83885
8 1 2 2.0 0.0 15.33407 2.41054
8 1 3 2.0 0.0 17.55995 2.3091
8 1 4 2.0 0.0 18.06415 2.76328
0 2 0 2.0 0.0 18.96682 3.15347
0 2 1 2.0 0.0 18.04547 2.49867
0 2 2 2.0 0.0 19.3559 2.77928
0 2 3 2.0 0.0 20.5781 2.9311
0 2 4 2.0 0.0 22.67002 4.07462
4 2 0 2.0 0.0 22.85839 3.33543
4 2 1 2.0 0.0 23.80505 3.20621
4 2 2 2.0 0.0 24.97683 3.23393
4 2 3 2.0 0.0 27.21201 4.06424
4 2 4 2.0 0.0 29.43765 4.19022
